epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.501,1.44459,3.37222,1.77081,0.03722,0.55789,0.07115,0.02677,1.09463,3.48259,1.60873,5.555e-05,5.555e-05,5.555e-05
2,25.1906,1.34877,3.31168,1.64118,0.08414,0.5756,0.10517,0.05955,0.99225,3.44071,1.48907,0.000121,0.000121,0.000121
3,36.9576,1.13835,3.27645,1.44472,0.10698,0.62823,0.15222,0.0929,1.1037,3.43486,1.49643,0.00018513,0.00018513,0.00018513
4,48.6033,1.13332,3.27161,1.51726,0.11705,0.73254,0.18808,0.09759,1.13589,3.44252,1.49478,0.000247941,0.000247941,0.000247941
5,60.1569,1.15493,3.19488,1.50168,0.0949,0.87321,0.22392,0.11158,1.15763,3.44309,1.53643,0.000309431,0.000309431,0.000309431
6,71.9154,1.09992,3.10411,1.45603,0.06134,0.93971,0.31408,0.14498,1.17626,3.42613,1.55673,0.000369602,0.000369602,0.000369602
7,83.8466,1.09363,3.05439,1.48246,0.03781,0.97895,0.34191,0.15754,1.19594,3.36648,1.57765,0.000428453,0.000428453,0.000428453
8,95.4569,1.11688,2.98462,1.44396,0.03194,0.97409,0.30251,0.13453,1.32531,3.36596,1.69134,0.000485984,0.000485984,0.000485984
9,107.097,1.16563,2.91667,1.54226,0.03075,0.97409,0.32712,0.14435,1.37233,3.34824,1.7694,0.000542195,0.000542195,0.000542195
10,118.692,1.16998,2.82705,1.48406,0.41537,0.11429,0.26003,0.13254,1.29849,3.25181,1.73652,0.000597086,0.000597086,0.000597086
11,130.321,1.14628,2.70829,1.46661,0.63019,0.17764,0.32521,0.18687,1.27358,3.07972,1.68726,0.000650657,0.000650657,0.000650657
12,141.997,1.04068,2.60604,1.39556,0.97614,0.09212,0.36449,0.21806,1.32463,2.90939,1.71449,0.000702909,0.000702909,0.000702909
13,153.73,1.15764,2.5271,1.47719,0.93714,0.13589,0.31027,0.18821,1.2953,2.74973,1.71576,0.00075384,0.00075384,0.00075384
14,165.574,1.0991,2.43653,1.45101,0.56689,0.21914,0.30463,0.1905,1.24713,2.57545,1.71193,0.000803452,0.000803452,0.000803452
15,177.231,1.147,2.35188,1.42621,0.56689,0.21914,0.30463,0.1905,1.24713,2.57545,1.71193,0.000851744,0.000851744,0.000851744
16,188.836,1.15192,2.33212,1.52902,0.30366,0.25227,0.33813,0.20524,1.28863,2.39034,1.75916,0.000898716,0.000898716,0.000898716
17,200.497,1.11613,2.16456,1.43238,0.4257,0.34881,0.37499,0.24168,1.26418,2.32014,1.81433,0.000935018,0.000935018,0.000935018
18,212.398,1.1133,2.10695,1.47217,0.37852,0.45236,0.42251,0.27145,1.18451,2.13915,1.71623,0.000924019,0.000924019,0.000924019
19,224.064,1.16456,2.17747,1.52167,0.37852,0.45236,0.42251,0.27145,1.18451,2.13915,1.71623,0.00091302,0.00091302,0.00091302
20,235.871,1.28433,2.12604,1.57982,0.4534,0.41328,0.51669,0.32778,1.13313,2.102,1.66819,0.000902021,0.000902021,0.000902021
21,247.548,1.15315,2.0496,1.4489,0.56573,0.33134,0.45728,0.28326,1.17588,2.1795,1.70197,0.000891022,0.000891022,0.000891022
22,259.248,1.11668,2.01627,1.451,0.37988,0.34402,0.38253,0.23556,1.19545,2.25846,1.70716,0.000880023,0.000880023,0.000880023
23,270.931,1.15198,1.99476,1.46641,0.37988,0.34402,0.38253,0.23556,1.19545,2.25846,1.70716,0.000869024,0.000869024,0.000869024
24,282.625,1.09514,1.8374,1.41742,0.47534,0.37427,0.43766,0.26862,1.16819,2.19234,1.71835,0.000858025,0.000858025,0.000858025
25,294.377,1.0043,1.73486,1.39767,0.43869,0.40137,0.45617,0.29213,1.09095,2.16955,1.65682,0.000847026,0.000847026,0.000847026
26,306.069,1.05712,1.74603,1.3966,0.50679,0.40961,0.50011,0.30473,1.10661,2.34533,1.67763,0.000836027,0.000836027,0.000836027
27,317.742,1.12768,1.85669,1.4879,0.50679,0.40961,0.50011,0.30473,1.10661,2.34533,1.67763,0.000825029,0.000825029,0.000825029
28,329.448,1.10868,1.76377,1.42237,0.49083,0.4819,0.5231,0.32982,1.04144,2.53585,1.61367,0.00081403,0.00081403,0.00081403
29,341.368,1.09501,1.83847,1.4571,0.51215,0.45424,0.53086,0.316,1.15187,2.46631,1.64321,0.000803031,0.000803031,0.000803031
30,353.015,1.07782,1.79727,1.4465,0.58701,0.49464,0.58311,0.33515,1.16476,2.23736,1.63549,0.000792032,0.000792032,0.000792032
31,364.693,1.04942,1.58291,1.38165,0.58701,0.49464,0.58311,0.33515,1.16476,2.23736,1.63549,0.000781033,0.000781033,0.000781033
32,376.398,1.09665,1.76266,1.45645,0.57403,0.53016,0.59651,0.37116,1.10774,1.99549,1.58225,0.000770034,0.000770034,0.000770034
33,388.109,1.04349,1.61923,1.36917,0.61298,0.59746,0.6269,0.37771,1.14697,1.94552,1.61494,0.000759035,0.000759035,0.000759035
34,399.901,1.04387,1.67074,1.41296,0.51559,0.61404,0.62972,0.38801,1.12096,1.92692,1.59387,0.000748036,0.000748036,0.000748036
35,411.585,1.01851,1.59224,1.38247,0.51559,0.61404,0.62972,0.38801,1.12096,1.92692,1.59387,0.000737037,0.000737037,0.000737037
36,423.457,0.95149,1.48711,1.31147,0.54883,0.59309,0.64228,0.39191,1.17419,2.00551,1.62362,0.000726038,0.000726038,0.000726038
37,435.365,0.96286,1.56823,1.34317,0.55362,0.54267,0.62502,0.37886,1.14171,2.06186,1.65534,0.00071504,0.00071504,0.00071504
38,447.461,1.03954,1.64852,1.44718,0.52425,0.62875,0.63522,0.39423,1.14794,1.95716,1.65915,0.000704041,0.000704041,0.000704041
39,459.384,0.98913,1.52745,1.30639,0.52425,0.62875,0.63522,0.39423,1.14794,1.95716,1.65915,0.000693042,0.000693042,0.000693042
40,471.452,0.99669,1.55421,1.36375,0.54858,0.7239,0.69441,0.41698,1.07748,1.74337,1.55597,0.000682043,0.000682043,0.000682043
41,483.452,1.03856,1.59328,1.37876,0.67585,0.66301,0.72737,0.43917,1.08395,1.69213,1.555,0.000671044,0.000671044,0.000671044
42,495.807,0.9613,1.50081,1.37386,0.60888,0.77672,0.73112,0.45839,1.02597,1.65647,1.52317,0.000660045,0.000660045,0.000660045
43,508.183,0.96216,1.45314,1.30535,0.60888,0.77672,0.73112,0.45839,1.02597,1.65647,1.52317,0.000649046,0.000649046,0.000649046
44,520.549,0.9537,1.50772,1.33932,0.62151,0.68491,0.71485,0.44619,1.02024,1.6324,1.51074,0.000638047,0.000638047,0.000638047
45,532.851,0.94991,1.42933,1.30681,0.65689,0.66785,0.70481,0.4487,1.03874,1.60946,1.53725,0.000627048,0.000627048,0.000627048
46,544.955,0.91328,1.37946,1.29023,0.60609,0.75049,0.71979,0.47588,1.02191,1.61673,1.57386,0.000616049,0.000616049,0.000616049
47,556.646,1.00253,1.50045,1.35581,0.60609,0.75049,0.71979,0.47588,1.02191,1.61673,1.57386,0.000605051,0.000605051,0.000605051
48,568.278,0.98437,1.43352,1.43528,0.60364,0.77299,0.7346,0.49424,0.99699,1.57302,1.53336,0.000594052,0.000594052,0.000594052
49,579.949,0.97315,1.41523,1.33564,0.60217,0.72502,0.74965,0.5061,1.01406,1.58645,1.52572,0.000583053,0.000583053,0.000583053
50,591.816,0.94256,1.43037,1.29274,0.64149,0.71757,0.74275,0.48361,1.04034,1.62137,1.53567,0.000572054,0.000572054,0.000572054
51,603.399,0.96668,1.52254,1.39012,0.64149,0.71757,0.74275,0.48361,1.04034,1.62137,1.53567,0.000561055,0.000561055,0.000561055
52,615.001,0.93985,1.38278,1.28056,0.66024,0.71624,0.74342,0.48805,1.02153,1.63701,1.51025,0.000550056,0.000550056,0.000550056
53,626.591,0.96749,1.47164,1.33847,0.74898,0.60531,0.75905,0.51181,1.03396,1.59668,1.50268,0.000539057,0.000539057,0.000539057
54,638.2,0.92311,1.43069,1.30527,0.78766,0.61365,0.78796,0.54897,0.99941,1.52825,1.47138,0.000528058,0.000528058,0.000528058
55,649.798,0.85118,1.30603,1.24943,0.78766,0.61365,0.78796,0.54897,0.99941,1.52825,1.47138,0.000517059,0.000517059,0.000517059
56,661.41,0.91705,1.28301,1.2627,0.80336,0.64722,0.79057,0.5331,0.99792,1.48178,1.45574,0.00050606,0.00050606,0.00050606
57,673.017,0.90073,1.31322,1.29051,0.80069,0.69028,0.78982,0.52515,1.00258,1.49358,1.44528,0.000495062,0.000495062,0.000495062
58,684.717,0.91928,1.31419,1.30085,0.78626,0.65801,0.77687,0.52023,0.96393,1.52982,1.42087,0.000484063,0.000484063,0.000484063
59,696.391,0.87643,1.34985,1.32199,0.78626,0.65801,0.77687,0.52023,0.96393,1.52982,1.42087,0.000473064,0.000473064,0.000473064
60,708.05,0.84296,1.24381,1.26914,0.76075,0.63674,0.73958,0.48046,0.9508,1.64534,1.43375,0.000462065,0.000462065,0.000462065
61,719.967,0.87198,1.26614,1.24931,0.77235,0.57879,0.71398,0.47548,0.93804,1.63418,1.44265,0.000451066,0.000451066,0.000451066
62,731.65,0.8746,1.22769,1.23655,0.75944,0.5872,0.72514,0.50346,0.9287,1.50665,1.41766,0.000440067,0.000440067,0.000440067
63,743.312,0.83282,1.22944,1.23427,0.75944,0.5872,0.72514,0.50346,0.9287,1.50665,1.41766,0.000429068,0.000429068,0.000429068
64,754.957,0.87897,1.2389,1.29789,0.68815,0.66599,0.7295,0.5114,0.95385,1.48197,1.41236,0.000418069,0.000418069,0.000418069
65,766.613,0.84223,1.22783,1.23198,0.72921,0.63511,0.72901,0.50367,0.98269,1.47062,1.4405,0.00040707,0.00040707,0.00040707
66,778.315,0.80978,1.14275,1.19176,0.79341,0.60812,0.72412,0.50568,0.99123,1.49013,1.46332,0.000396071,0.000396071,0.000396071
67,789.973,0.81941,1.20618,1.21665,0.79341,0.60812,0.72412,0.50568,0.99123,1.49013,1.46332,0.000385073,0.000385073,0.000385073
68,799.259,0.84166,1.1688,1.2646,0.74738,0.63714,0.72172,0.50386,0.9803,1.49815,1.46095,0.000374074,0.000374074,0.000374074
69,810.899,0.79653,1.16569,1.20048,0.796,0.64165,0.73593,0.50833,0.99004,1.52442,1.46436,0.000363075,0.000363075,0.000363075
70,822.773,0.78699,1.1551,1.23712,0.78679,0.65718,0.72309,0.50758,0.98187,1.54877,1.44436,0.000352076,0.000352076,0.000352076
71,834.575,0.80253,1.13031,1.2144,0.78679,0.65718,0.72309,0.50758,0.98187,1.54877,1.44436,0.000341077,0.000341077,0.000341077
72,846.196,0.81448,1.14577,1.20641,0.79663,0.65022,0.71102,0.49494,0.97579,1.55898,1.43178,0.000330078,0.000330078,0.000330078
73,857.786,0.81042,1.14255,1.20551,0.77612,0.64138,0.70172,0.49761,0.96982,1.54638,1.41783,0.000319079,0.000319079,0.000319079
74,869.46,0.83512,1.18516,1.25077,0.79691,0.62954,0.71224,0.51095,0.95544,1.50315,1.40514,0.00030808,0.00030808,0.00030808
75,881.081,0.81675,1.15046,1.1934,0.79691,0.62954,0.71224,0.51095,0.95544,1.50315,1.40514,0.000297081,0.000297081,0.000297081
76,892.699,0.8119,1.1173,1.22733,0.76806,0.64627,0.72738,0.51997,0.95028,1.48857,1.40917,0.000286083,0.000286083,0.000286083
77,904.328,0.8339,1.11158,1.23639,0.74638,0.71418,0.75146,0.51721,0.95512,1.48954,1.4297,0.000275084,0.000275084,0.000275084
78,915.933,0.82245,1.1233,1.24723,0.78295,0.70499,0.7495,0.51504,0.93941,1.50628,1.41588,0.000264085,0.000264085,0.000264085
79,927.55,0.83189,1.13705,1.21815,0.78295,0.70499,0.7495,0.51504,0.93941,1.50628,1.41588,0.000253086,0.000253086,0.000253086
80,939.153,0.76092,1.12218,1.206,0.76248,0.69562,0.74678,0.52663,0.9076,1.50788,1.38741,0.000242087,0.000242087,0.000242087
81,950.753,0.76508,1.09049,1.1977,0.76855,0.68727,0.74137,0.53263,0.88718,1.50401,1.37036,0.000231088,0.000231088,0.000231088
82,962.553,0.75559,1.11887,1.1784,0.79879,0.67109,0.73918,0.54165,0.90095,1.50532,1.38529,0.000220089,0.000220089,0.000220089
83,974.147,0.71321,1.09355,1.20126,0.79879,0.67109,0.73918,0.54165,0.90095,1.50532,1.38529,0.00020909,0.00020909,0.00020909
84,985.783,0.77162,1.07481,1.19834,0.81132,0.67339,0.75343,0.5488,0.91114,1.50499,1.39007,0.000198091,0.000198091,0.000198091
85,997.334,0.78905,1.13687,1.26517,0.83783,0.6806,0.76085,0.55285,0.92834,1.5066,1.4046,0.000187092,0.000187092,0.000187092
86,1009,0.73229,1.08538,1.18777,0.78161,0.67128,0.75971,0.5567,0.91196,1.47798,1.39226,0.000176094,0.000176094,0.000176094
87,1020.55,0.79395,1.16189,1.22211,0.78161,0.67128,0.75971,0.5567,0.91196,1.47798,1.39226,0.000165095,0.000165095,0.000165095
88,1032.19,0.72918,1.08705,1.20279,0.74375,0.68077,0.75389,0.54913,0.93434,1.49599,1.40817,0.000154096,0.000154096,0.000154096
89,1043.78,0.75239,1.048,1.19717,0.72692,0.67463,0.75296,0.54787,0.93057,1.48453,1.40949,0.000143097,0.000143097,0.000143097
90,1055.38,0.74922,1.0451,1.16952,0.71716,0.69401,0.75856,0.54936,0.92243,1.46919,1.40987,0.000132098,0.000132098,0.000132098
91,1066.93,0.69693,1.2451,1.19864,0.71716,0.69401,0.75856,0.54936,0.92243,1.46919,1.40987,0.000121099,0.000121099,0.000121099
92,1078.58,0.69455,1.18304,1.19191,0.75729,0.69634,0.75799,0.53866,0.92299,1.44429,1.40508,0.0001101,0.0001101,0.0001101
93,1090.1,0.7272,1.2407,1.24715,0.76258,0.69686,0.74761,0.53744,0.91567,1.42824,1.3961,9.91012e-05,9.91012e-05,9.91012e-05
94,1101.58,0.73131,1.26088,1.22395,0.78676,0.65683,0.74912,0.54354,0.91483,1.42396,1.39611,8.81023e-05,8.81023e-05,8.81023e-05
95,1113.03,0.71827,1.23015,1.19625,0.78676,0.65683,0.74912,0.54354,0.91483,1.42396,1.39611,7.71034e-05,7.71034e-05,7.71034e-05
96,1124.6,0.64667,1.09253,1.11133,0.76978,0.64741,0.74912,0.54732,0.903,1.40831,1.38518,6.61045e-05,6.61045e-05,6.61045e-05
97,1136.16,0.64645,1.08204,1.16037,0.78746,0.66699,0.74762,0.54452,0.90622,1.41196,1.39064,5.51056e-05,5.51056e-05,5.51056e-05
98,1147.72,0.65857,1.08798,1.14944,0.76873,0.6638,0.7528,0.55127,0.89458,1.39085,1.37878,4.41067e-05,4.41067e-05,4.41067e-05
99,1159.3,0.66267,1.1234,1.16667,0.76873,0.6638,0.7528,0.55127,0.89458,1.39085,1.37878,3.31078e-05,3.31078e-05,3.31078e-05
100,1170.79,0.66995,1.16313,1.19843,0.71504,0.67565,0.75779,0.54946,0.89414,1.38284,1.36938,2.21089e-05,2.21089e-05,2.21089e-05
